Region,Country,Country_income_level,Organization_name,Type_of_organization,Organization_description,Sector,URL,City,State_County,Founding_year,Size,Type_of_data_used,Application_Advocacy,Advocacy_description,Application_Product_Service,Product_Service_Description,Application_Organizational_Optimization,Organizational_Optimization_Description,Application_Research,Research_Description,Application_Other,Other_Description
"East Asia & Pacific",Indonesia,"Lower middle income","Pulse Lab Jakarta",Other,"Pulse Lab Jakarta brings together experts from United Nations agencies, the Indonesian government, non-governmental organisations and the private sectors to research and, most importantly, facilitate ","Data/information technology",http://www.unglobalpulse.org/jakarta,Jakarta,,2012,"11 to 50",Agriculture,FALSE,,FALSE,"Uses open data to research and facilitate the",FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Taiwan,Null,"Prolink Solutions",For-profit,"Prolink Solutions Co integrates freight forwarder, communications, EDI systems (Electronic Data Exchange), and offers professional services.","Business and legal services",http://www.pllink.com/Index.jsp?lang=english,Taipei,,1995,,"Weather, Economics, Economics, Finance, Transportation",FALSE,,FALSE,,TRUE,"Uses Taiwan's government marine weather infor",FALSE,,FALSE,
"East Asia & Pacific",Taiwan,Null,Trenzink,Nonprofit,"Trenzink has passion for creating good apps.","Data/information technology",http://www.trenzink.com,Taipei,,2015,,"Transportation, Weather",FALSE,,FALSE,,TRUE,"Using open data from governments - google and",FALSE,,FALSE,
"East Asia & Pacific",Indonesia,"Lower middle income","Open Data Lab Jakarta (Web Foundation)",Nonprofit,"The Jakarta Lab works with national and local governments, civil society groups, journalists, researchers, and citizens throughout Southeast Asia. The Lab's work is organized around four key pillars: ","Data/information technology",http://labs.webfoundation.org/projects/opendatafortransparency/,Jakarta,,2014,"1 to 10","Government operations",TRUE,"Uses open data in various civic projects lead",FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific","Hong Kong","High income","Open Data Hong Kong","Developer group","Open Data Hong Kong is an open, participative, volunteer-run group of Hong Kong citizens who support Open Data",Governance,http://opendatahk.com/,"Hong Kong",,2013,"11 to 50",,TRUE,"various projects related to open data - e.g. ",FALSE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Taiwan,Null,muyueh.com,For-profit,"Muyueh is a company that creates data visualizations, developing efficient representations for a wide range of industries including: medical, transportation, finance, energy, culture & agricultural da","Data/information technology",http://muyueh.com/,Taipei,,2015,,"Health/healthcare, Transportation",FALSE,,FALSE,"uses open data to create visualizations and r",FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Taiwan,Null,"Mercuries & Associates",For-profit,"Mercuries & Associates, Ltd. provides life insurance products in Taiwan.",Insurance,http://www.mercuries.com.tw/index/,Taipei,,1965,,"Economics, Business, Housing, Geospatial/mapping, Government operations, Education, Demographics and social",FALSE,,FALSE,,TRUE,"inventory analysis and evaluation.",FALSE,,FALSE,
"East Asia & Pacific",Indonesia,"Lower middle income",LewatMana,For-profit,"This traffic monitoring service provides users with live CCTV feeds and traffic reports to help commuters choose the best road possible and avoid traffic.","Transportation and logistics",http://www.lewatmana.com,Jakarta,,2012,"1 to 10",Geospatial/mapping,FALSE,,FALSE,,TRUE,"uses GPS and transportation information to pr",FALSE,,FALSE,
"East Asia & Pacific",Taiwan,Null,"LEO Systems",For-profit,"Leo Systems, Inc. offers computer and computer related products in Taiwan.","Data/information technology",http://www.leosys.com/,Taipei,,1985,,"Environment, Agriculture, Health/healthcare, Housing, Public safety, Business, Business",FALSE,,FALSE,"Uses open datas to offer industry-leading ser",FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Philippines,"Lower middle income",Lenddo,For-profit,"Lenddo is an online platform that helps the emerging middle class use their social connections to build their creditworthiness and access local financial services.","Finance and investment",http://www.lenddo.com,"Makati City",,2011,"51 to 200",Legal,FALSE,,TRUE,"Uses legal open data to provide credit score ",FALSE,,FALSE,,FALSE,
"East Asia & Pacific","Hong Kong","High income","Journalism and Media Studies Center - Hong Kong University",Other,"The Journalism and Media Studies Centre is a part of Hong Kong University.","Media and communications",http://datalab.jmsc.hku.hk/,"Hong Kong",,2015,"11 to 50",,FALSE,,FALSE,,FALSE,,TRUE,"Uses open data to conduct research on journal",FALSE,
"East Asia & Pacific",Taiwan,Null,"Intumit Inc.",For-profit,"Intumit is a large network specializing in natural language information processing and data extraction to allow customers to effectively manage complex internal and external, massive, rapid changes in","Data/information technology",http://www.intumit.com/,Taipei,,1999,,"Weather, Education, Arts and culture, Housing",FALSE,,TRUE,"Uses open data to provide Knowledge Managemen",FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Taiwan,Null,"Hotai Motor",For-profit,"Hotai Motor Co., Ltd. is the distributor of Toyota, Lexus, HinoTrucks, and Toyota Industrial Equipment in Taiwan.","Consumer services","http://pressroom.hotaimotor.com.tw/en/ 
http://www.bubutrip.com.tw/",Taipei,,1947,"201 to 1000","Weather, Geospatial/mapping, Transportation, Arts and culture",FALSE,,FALSE,,TRUE,"personal itineraries - navigation output file",FALSE,,FALSE,
"East Asia & Pacific",Taiwan,Null,"Giga-Byte Technology",For-profit,"Giga-Byte Technology is an international manufacturer and distributor of computer hardware products.","Data/information technology",http://www.gigabyte.com,Taipei,,1986,1000+,"Consumer, Agriculture, Weather",FALSE,,FALSE,,TRUE,"iGoMap platform using meteorological informat",FALSE,,FALSE,
"East Asia & Pacific",Taiwan,Null,g0v,"Developer group","g0v is an online community that pushes information transparency, focusing on developing information platform and tools for the citizens to participate in society.",Governance,http://g0v.tw/en-US/index.html,Taipei,,2012,,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific","Hong Kong","High income","Data Journalism China",Nonprofit,"Data Journalism China aims to promote open data and media innovation to China's journalists, media managers, mass media, educators and designers, and programmers, by providing both online and offline ","Media and communications",http://djchina.org/,"Hong Kong",,2015,"11 to 50",,TRUE,"Uses open data in various investigative journ",FALSE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income",CodeNamu,"Developer group","CodeNamu is an open community of citizens spontaneously gathered to realize open government.",Governance,http://codenamu.org/,Seoul,,2010,"1 to 10","Government operations",TRUE,"Uses open data in various civic projects.",FALSE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Japan,"High income","Code for Japan","Developer group","Code for Japan continue to support the activities of emergent actions that utilize the technology for better future development.",Governance,http://code4japan.org/,Tokyo,,2015,"11 to 50","Government operations",TRUE,"Uses open data in various civic projects.",FALSE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Taiwan,Null,"Athena Information Systems",For-profit,"Athena Information Systems provides integration-based business information systems services.","Business and legal services",http://www.athena.com.tw/,Taipei,,1989,,"Environment, Transportation, Arts and culture, Weather",FALSE,,FALSE,"Uses open data to build up complete informati",FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Taiwan,Null,"AquaCast Taiwan Corp.",For-profit,"AquaCast Taiwan Corporation is an app developer in Taiwan","Data/information technology",http://www.tklike.com/,Taipei,,2015,,"Arts and culture, Agriculture, Weather, Transportation",FALSE,,FALSE,"Uses open data to provide information about n",FALSE,,FALSE,,FALSE,
"East Asia & Pacific",China,"Upper middle income","Shanghai QingYue",Nonprofit,"Shanghai Qingyue is a Shanghai-based tech NGO focusing on environmental issues. ",Environment,http://epmap.org,上海,上海市,2012,"1 to 10",Environment,FALSE,,TRUE,"Archive real-time public data into a database",FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Indonesia,"Lower middle income","Humanitarian OpenStreet Map",Nonprofit,"Humanitarian Open Street Map (HOT)","IT and geospatial",https://hotosm.org/,Jakarta,"Special Capital Region of Jakarta",2010,,"Geospatial, Government operations, International/global development",FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific",Indonesia,"Lower middle income",Katadata,For-profit,"KATADATA is an online media and research company focusing on economics and business and providing news, information, data, and the results of in-depth research for the benefit of business leaders and ","Media and communications",http://www.katadata.co.id,"Special Capital Region of Jakarta","Special Capital Region of Jakarta",2012,"11 to 50","Agriculture, Economics, Geospatial, Energy",FALSE,,FALSE,,FALSE,,TRUE,"Use open data for research and investigative ",FALSE,
